name_BDM,name_EMBT
Polyommatus semiargus,NA
Aricia eumedon,NA
Plebeius orbitulus,NA
Zygaena exulans,NA
Plebeius glandon,NA
Plebeius optilete,NA
Argynnis adippe,NA
Adscita statices,NA
Zygaena filipendulae,NA
Colias croceus,NA
Zygaena transalpina,NA
Argynnis niobe,NA
Zygaena purpuralis,NA
Erebia alberganus,NA
Polyommatus coridon,NA
Inachis io,NA
Ochlodes venata,NA
Zygaena lonicerae,NA
Plebeius idas,NA
Argynnis aglaja,NA
Zygaena loti,NA
Maculinea arion,NA
Plebeius argus,NA
Polyommatus bellargus,NA
Zygaena viciae,NA
