name_BDM,name_Zeuss
Adscita statices,NA
Aricia eumedon,NA
Boloria dia,NA
Boloria euphrosyne,NA
Boloria selene,NA
Boloria thore,NA
Boloria titania,NA
Brintesia circe,NA
Carcharodus alceae,NA
Carterocephalus palaemon,NA
Colias croceus,NA
Cupido alcetas,NA
Cupido argiades,NA
Erynnis tages,NA
Euphydryas aurinia,NA
Euphydryas cynthia,NA
Hamearis lucina,NA
Hesperia comma,NA
Melitaea athalia,NA
Nymphalis polychloros,NA
Ochlodes venata,NA
Pieris napi,NA
Pieris rapae,NA
Plebeius argus,NA
Plebeius glandon,NA
Plebeius idas,NA
Plebeius optilete,NA
Plebeius orbitulus,NA
Polyommatus bellargus,NA
Polyommatus coridon,NA
Polyommatus damon,NA
Polyommatus dorylas,NA
Polyommatus semiargus,NA
Pyrgus alveus,NA
Pyrgus malvae,NA
Spialia sertorius,NA
Thymelicus lineola,NA
Thymelicus sylvestris,NA
Zygaena exulans,NA
Zygaena filipendulae,NA
Zygaena lonicerae,NA
Zygaena loti,NA
Zygaena purpuralis,NA
Zygaena transalpina,NA
Zygaena viciae,NA
