species,volume_male,volume_female,voltinism,volume
Idaea consolidata,23.080242634799,22.6343538312577,2,22.6343538312577
Idaea contiguaria,16.1320901534424,19.7965708021988,1,19.7965708021988
Idaea degeneraria,15.3867765000729,20.0187447801846,2.5,20.0187447801846
Idaea deitanaria,5.12973310498144,3.86954944702768,2,3.86954944702768
Idaea determinata,29.9789336521008,25.2053409886542,1,25.2053409886542
Idaea deversaria,22.9090534110211,21.1743403074586,1,21.1743403074586
Idaea dilutaria,8.94593103959636,11.7024116869448,1,11.7024116869448
Idaea dimidiata,9.49290914283831,10.1206018806195,2,10.1206018806195
Idaea distinctaria,14.7380232691112,11.7020940793388,2.5,11.7020940793388
Idaea efflorata,7.84295669844495,7.96868104238178,1.5,7.96868104238178
Idaea elongaria,11.2601139582753,12.4721491403899,2,12.4721491403899
Idaea emarginata,19.7521670809963,18.2813220440621,1,18.2813220440621
Idaea eugeniata,23.3793695249144,15.9067386813212,2.5,15.9067386813212
Idaea exilaria,9.06373781363308,14.4863991777579,2,14.4863991777579
Idaea filicata,12.2615502429508,15.0829314880755,2.5,15.0829314880755
Idaea flaveolaria,7.41712047668414,10.9380509218629,1,10.9380509218629
Idaea fractilineata,9.71800820608349,9.53590099499293,1,9.53590099499293
Idaea fuscovenosa,13.9153367161039,7.86104189786129,1,7.86104189786129
Idaea humiliata,10.064625453824,11.6233809506369,1,11.6233809506369
Idaea incalcarata,6.94315205462913,8.56637957136021,2.5,8.56637957136021
Idaea incisaria,13.137939377394,13.0997263286979,2.5,13.0997263286979
Idaea infirmaria,8.12820646677471,10.023088028509,1,10.023088028509
Idaea inquinata,10.9413253868104,10.6015232706759,2,10.6015232706759
Idaea intermedia,6.4465951070915,8.26324013182487,3,8.26324013182487
Idaea korbi,,,1,11.7928885106226
Idaea laevigata,8.36917303372164,16.81032469975,2,16.81032469975
Idaea leipnitzi,9.84774471324089,6.54788172018975,1,6.54788172018975
Idaea libycata,23.4958784966467,22.0119974033158,2.5,22.0119974033158
Idaea litigiosaria,24.6143158813987,19.3129200515186,1,19.3129200515186
Idaea longaria,10.5849870016768,20.1399975948495,2.5,20.1399975948495
Idaea lusohispanica,15.071295094068,14.9512400190016,1,14.9512400190016
Idaea luteolaria,11.643095428659,11.0075514989949,1,11.0075514989949
Idaea lutulentaria,13.4942239540521,9.45262468621828,1,9.45262468621828
Idaea macilentaria,13.5625070721422,15.7060488494698,1,15.7060488494698
Idaea mancipiata,10.8560743119074,16.2765056849907,2,16.2765056849907
Idaea manicaria,4.17743662166124,10.2829182013834,2.5,10.2829182013834
Idaea mediaria,9.36915172610206,10.3460511646284,1,10.3460511646284
Idaea metohiensis,13.825793219072,15.0801054051978,1,15.0801054051978
Idaea minuscularia,8.45911328164529,8.47181593074373,3,8.47181593074373
Idaea moniliata,16.3068434388253,24.2384596170403,1,24.2384596170403
Idaea muricata,13.8165651919416,21.2918994311472,1,21.2918994311472
Idaea mustelata,11.0174434442264,7.28675553349308,1,7.28675553349308
Idaea mutilata,16.896976563457,19.180812418138,1,19.180812418138
Idaea nevadata,5.05838215010246,3.59231912346077,1,3.59231912346077
Idaea nigrolineata,4.63991516409597,7.00095823888358,1,7.00095823888358
Idaea nitidata,26.5019009724635,22.6995729745526,1,22.6995729745526
Idaea obliquaria,8.7965780180257,11.8484291183218,1,11.8484291183218
Idaea obsoletaria,8.48168677293804,17.8775438753591,1,17.8775438753591
Idaea ochrata,13.6850697880138,16.0515528326904,1,16.0515528326904
Idaea ossiculata,15.7668074417273,10.5613355363096,1,10.5613355363096
Idaea ostrinaria,17.7630033135572,15.9535307353083,1,15.9535307353083
Idaea palaestinensis,12.1732108603934,21.6303961474242,1.5,21.6303961474242
Idaea pallidata,18.6085495660749,15.8087266596049,1,15.8087266596049
Idaea politaria,9.70855197650195,8.5457269047179,1,8.5457269047179
Idaea predotaria,15.8753532237585,12.2762065091643,2,12.2762065091643
Idaea rainerii,8.63686754305049,14.2677575059613,1.5,14.2677575059613
Idaea rhodogrammaria,7.78142013858406,3.72942183194887,1,3.72942183194887
Idaea rubraria,32.3498753185421,25.0949264844058,1,25.0949264844058
Idaea rufaria,23.2042370055399,30.8045443619374,1,30.8045443619374
Idaea rupicolaria,12.6256670118619,15.2161839957052,1,15.2161839957052
Idaea rusticata,13.1325145865197,11.6774438285023,1,11.6774438285023
Idaea saleri,7.02473412054631,5.23696239541712,2.5,5.23696239541712
Idaea sardoniata,14.1630141670981,12.8953311971062,1,12.8953311971062
Idaea seriata,8.43221328842785,11.6781129189164,2,11.6781129189164
Idaea sericeata,13.6658098528611,12.1857675813,1,12.1857675813
Idaea serpentata,11.3107169035417,12.7148072753696,1,12.7148072753696
Idaea simplicior,15.7971977807443,25.2318964713415,1,25.2318964713415
Idaea spissilimbaria,8.25684839426978,11.4918784089171,1,11.4918784089171
Idaea squalidaria,11.1102714634812,6.47629075274494,1,6.47629075274494
Idaea straminata,33.7157865461858,17.0194790292708,1.5,17.0194790292708
Idaea subsericeata,13.7295181428296,24.3750843624256,2.5,24.3750843624256
Idaea sylvestraria,15.1550309800968,20.8875728938164,1,20.8875728938164
Idaea trigeminata,15.8201347132329,20.1634371727188,2,20.1634371727188
Idaea typicata,19.1352908911246,10.9317303553352,1.5,10.9317303553352
Idaea vesubiata,11.2160314377122,16.9037833274099,2,16.9037833274099
Iolana iolas,51.647722155073,65.1253605701499,1,65.1253605701499
Issoria lathonia,106.685587647944,110.722184047718,3,110.722184047718
Jodis lactearia,11.2015498577509,14.1216972133502,1.5,14.1216972133502
Jodis putata,6.9081649361939,8.89205971464969,1,8.89205971464969
Kanetisa circe,157.652342103056,199.200935200588,1,199.200935200588
Kirinia climene,,,1,88.13992078792
Kirinia roxelana,138.959410801465,113.142632896289,1,113.142632896289
Kretania eurypilus,28.4486493937589,20.9107686488493,1,20.9107686488493
Kuchleria insignata,21.2557556386928,17.836544294739,3,17.836544294739
Laeopsis roboris,39.6974421243009,39.4660361494345,1,39.4660361494345
Lampides boeticus,36.8156709521508,34.570469172447,3,34.570469172447
Lampropteryx otregiata,16.6099190864999,18.6021683800385,1.5,18.6021683800385
Lampropteryx suffumata,29.4136822841405,22.6454234087208,1,22.6454234087208
Larentia clavaria,,,1,69.8737171045179
Lasiommata maera maera,73.5889992808791,98.6379568331942,1.5,98.6379568331942
Lasiommata megera,52.3136818715342,63.7595968310124,2.5,63.7595968310124
Lasiommata petropolitana,49.1928108054332,50.8960791422436,1,50.8960791422436
Leptidea duponcheli,18.1172056893981,19.2239979216926,2,19.2239979216926
Leptidea morsei,24.3126874813931,22.2478198438717,2,22.2478198438717
Leptidea sinapis,22.8845605433256,25.0125734335078,2,25.0125734335078
Leptotes pirithous,16.8948780526128,11.4505476968165,3,11.4505476968165
Limenitis populi,250.199329315208,325.981192360876,1,325.981192360876
Lithostege castiliaria,12.0291385118149,8.80722129344856,1,8.80722129344856
Lithostege clarae,,,1,32.2326154390241
Lithostege coassata,25.4632230512028,17.3487879343827,1,17.3487879343827
Lithostege duponcheli,27.9469786837707,21.9419775604372,1,21.9419775604372
Lithostege farinata,24.8641266011807,41.9742180820291,1,41.9742180820291
Lobophora halterata,17.46593461783,19.8498711776767,1,19.8498711776767
Lopinga achine,61.2043815043046,82.3462358583972,1,82.3462358583972
Lycaena alciphron alciphron,51.5890606771352,57.0797481988386,1,57.0797481988386
Lycaena dispar,65.2530289796637,78.64486492828,1,78.64486492828
Lycaena helle,16.4852829972254,21.4225967471739,1,21.4225967471739
Lycaena hippothoe hippothoe,46.2937748661603,47.6426909334979,1.5,47.6426909334979
Lycaena ottomana,42.508880597598,46.0253740257635,2,46.0253740257635
Lycaena phlaeas,19.2241468843079,33.9276359020239,2.5,33.9276359020239
Lycaena thersamon,40.0673833314734,35.4853305229514,3,35.4853305229514
Lycaena thetis,42.119983897618,26.9140067375619,1,26.9140067375619
Lycaena tityrus tityrus,30.2782752690677,64.1741672377536,2.5,64.1741672377536
Lycaena virgaureae,37.9331289077067,47.9172364817793,1,47.9172364817793
Lysandra albicans,70.7423832859594,33.5973261986741,1,33.5973261986741
Lysandra bellargus,25.969479482204,26.4123229933448,2,26.4123229933448
Lysandra coridon,63.2416761617186,28.6337652358951,1.5,28.6337652358951
Lysandra hispana,37.6555668664639,32.8390320050678,2,32.8390320050678
Lythria cruentaria,10.9768342439326,13.6782864029158,2,13.6782864029158
Lythria plumularia,12.444162478686,13.8550460630066,1,13.8550460630066
Lythria purpuraria,14.6953295904584,23.6606213218653,2,23.6606213218653
Lythria sanguinaria,16.6544803218753,20.9616989670487,1.5,20.9616989670487
Maculinea alcon,29.612233623168,25.2385571691743,1,25.2385571691743
Maculinea arion arion,53.422336136521,50.6886561484537,1,50.6886561484537
Maculinea nausithous,39.0111341145784,33.2269678961785,1,33.2269678961785
Maculinea telejus,36.7943171612357,28.9865236053832,1,28.9865236053832
Malacodea regelaria,,,1,10.3148092353042
Maniola jurtina jurtina,62.6555231664487,74.9636709844165,1,74.9636709844165
Martania taeniata,12.4906118152114,19.3176102187727,1,19.3176102187727
Mattia callidaria,21.3704638661941,20.7534124555978,1,20.7534124555978
Melanargia arge,95.3391350267568,77.2055881384511,1,77.2055881384511
Melanargia galathea,79.5795680991534,68.984207329119,1,68.984207329119
Melanargia ines,93.0556498548996,96.9109066148379,1,96.9109066148379
Melanargia lachesis,64.0938540436699,68.8562707868974,1,68.8562707868974
Melanargia larissa,,,1,120.310743741034
Melanargia occitanica occitanica,82.8811606102369,134.954930741566,1,134.954930741566
Melanargia russiae cleanthe,76.1608909723791,125.938298113751,1,125.938298113751
Melanthia alaudaria,17.9397688700849,15.7493539886249,1,15.7493539886249
Melanthia procellata,37.6899595413067,33.6714338584719,2,33.6714338584719
Meleageria daphnis,49.1425880596569,37.8847086095765,1,37.8847086095765
Melitaea aetherica,146.244613710031,163.911043629019,1.5,163.911043629019
Melitaea arduinna,92.152407588395,126.307516852239,1,126.307516852239
Melitaea cinxia,88.0766638132977,117.863057078241,1.5,117.863057078241
Melitaea diamina diamina,49.4525122290916,59.7507149258297,1.5,59.7507149258297
Melitaea didyma didyma,62.6823066446945,60.43283708606,2.5,60.43283708606
Melitaea phoebe phoebe,63.2197265203419,84.4424154376721,2,84.4424154376721
Melitaea trivia trivia,62.3115461431374,75.5201953154867,2,75.5201953154867
Mellicta asteria,23.5074477195489,28.9938302216677,1,28.9938302216677
Mellicta athalia athalia,59.9345943782582,68.6247158494156,1,68.6247158494156
Mellicta aurelia,35.3097557363304,47.3763010884088,1,47.3763010884088
Mellicta britomartis,40.9924858617854,39.3584776929973,1.5,39.3584776929973
Mellicta deione deione,70.5953944252304,86.032874385853,2,86.032874385853
Mellicta parthenoides,39.857882309199,52.8680239002891,1.5,52.8680239002891
Mellicta varia,43.7828982619211,56.6083262099366,1,56.6083262099366
Mesoleuca albicillata,29.9265376038338,35.7441493431137,1,35.7441493431137
Mesotype parallelolineata,23.9933577193214,27.4408041822079,1,27.4408041822079
Mesotype verberata,30.2252361988443,35.9936407760121,1,35.9936407760121
Microloxia herbaria,10.654406292215,15.0185101292393,3,15.0185101292393
Minoa murinata,6.69268300284411,9.7070962289985,2,9.7070962289985
Muschampia cribrellum,60.0591941578952,102.151396527744,1,102.151396527744
Muschampia proto,75.6736193612003,87.8893060838,1,87.8893060838
Muschmpia tessellum,117.848421501279,147.031620447752,1,147.031620447752
Myinodes interpunctaria,11.2692257462908,3.79904478600733,1,3.79904478600733
Nebula achromaria,17.897696939665,20.6312114395766,2,20.6312114395766
Nebula ibericata,12.2375730548648,16.3296505807388,2,16.3296505807388
Nebula nebulata,16.94428010748,24.5633450122651,1,24.5633450122651
Nebula senectaria,11.4930321450625,16.9128572196119,2,16.9128572196119
Neohipparchia fatua,163.383321219633,164.412138970905,1,164.412138970905
Neohipparchia statilinus statilinus,97.5238132958306,132.376499591251,1,132.376499591251
Neolysandra coelestina,29.4471904934546,29.9114026917721,1,29.9114026917721
Nothocasis sertata,16.1435338960305,23.0548716738643,1,23.0548716738643
Oar reaumuraria,9.11108190859026,11.6645315627976,3,11.6645315627976
Ochlodes venatus,90.6503356080515,102.678619912369,1.5,102.678619912369
Oeneis bore,35.8872986924312,55.7246948717472,1,55.7246948717472
Oeneis glacialis,59.6165740906774,117.686171420604,1,117.686171420604
Oeneis jutta,66.2729760071899,86.7374526603522,1,86.7374526603522
Oeneis norna,41.9775309485274,66.8035063618759,1,66.8035063618759
Operophtera brumata,,,1,30.0737744252496
Operophtera fagata,,,1,20.9237544648453
Orthonama obstipata,14.3794534335228,15.6153227030628,3,15.6153227030628
Orthonama vittata,22.692743711038,21.3312119067019,2,21.3312119067019
Orthostixis cribraria,23.2625001119278,14.3413376243117,1,14.3413376243117
Oulobophora internata,14.2764881462293,15.3009690681919,1,15.3009690681919
Papilio alexanor,,,1,446.559726195584
Pararge aegeria aegeria,33.1392512601103,37.5827911807186,2.5,37.5827911807186
Pareulype berberata,26.2896615897405,26.0032288247517,2,26.0032288247517
Parnassius apollo,,,1,434.810150944648
Parnassius mnemosyne athene,,,1,109.062271280115
Parnassius phoebus,286.375332452512,376.359641310925,1,376.359641310925
Pasiphila chloerata,13.6296390402434,18.0414269587053,1,18.0414269587053
Pasiphila debiliata,17.882345436995,19.5301383372503,1,19.5301383372503
Pasiphila rectangulata,22.7591981578549,32.5693449138656,1,32.5693449138656
